,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149,epoch_150
0,1.8045000000000004,1.5435999999999999,1.4205,1.3383600000000002,1.2690799999999998,1.2209600000000003,1.1695200000000003,1.1308799999999999,1.0872799999999998,1.0612399999999997,1.0209800000000002,0.9864799999999997,0.9555599999999999,0.9205800000000002,0.8922400000000001,0.7735400000000001,0.7438000000000002,0.7311399999999999,0.7164800000000001,0.7093599999999999,0.7053799999999998,0.69662,0.6933,0.68458,0.6753400000000002,0.6673800000000001,0.6592199999999999,0.6517800000000001,0.6463800000000002,0.6429999999999998,0.6276999999999999,0.6281199999999999,0.6226599999999999,0.6197000000000001,0.6187800000000001,0.61986,0.6164199999999999,0.6168400000000002,0.61684,0.6224199999999999,0.61604,0.6135,0.61812,0.6117,0.6172,0.6076,0.6104999999999999,0.6099599999999998,0.6069999999999998,0.6140999999999999,0.61212,0.6097999999999999,0.6111800000000001,0.6142400000000001,0.6108399999999999,0.61562,0.6132,0.6089199999999998,0.6103199999999999,0.6093600000000001,0.6131599999999999,0.6079399999999998,0.6053599999999997,0.6078599999999998,0.6073199999999999,0.6080000000000001,0.6137999999999999,0.61254,0.6112599999999999,0.61024,0.6089199999999999,0.60932,0.6114,0.6087200000000003,0.6125399999999998,0.6089599999999998,0.61006,0.6106999999999999,0.6111199999999998,0.6047000000000001,0.6083999999999999,0.6145999999999999,0.60682,0.6079600000000001,0.6139599999999998,0.6099800000000001,0.6063400000000001,0.60718,0.60758,0.6103600000000001,0.6156600000000001,0.6120400000000001,0.6111399999999999,0.6090599999999999,0.60748,0.60698,0.6049800000000003,0.6075800000000001,0.6147,0.6053599999999999,0.6123,0.61058,0.6145199999999998,0.60922,0.61078,0.6113400000000001,0.6078400000000002,0.60598,0.61036,0.6069599999999999,0.6122200000000002,0.6109,0.6062599999999998,0.6119000000000002,0.6092,0.61588,0.6087,0.6128399999999999,0.60866,0.6125999999999998,0.61468,0.6096999999999999,0.60924,0.60616,0.6100599999999998,0.6086199999999999,0.6076199999999998,0.6121800000000001,0.6118799999999998,0.60404,0.6091399999999999,0.6136,0.6115400000000002,0.6112199999999999,0.6112599999999999,0.6079200000000001,0.60988,0.6087999999999999,0.60908,0.6115799999999999,0.61248,0.6074800000000001,0.6123000000000001,0.6086800000000001,0.6101199999999999,0.6106999999999998,0.6104599999999999,0.6091,0.6083400000000002,0.6123000000000001
2,1.7968400000000004,1.5079000000000002,1.37962,1.2992199999999996,1.23096,1.1796399999999998,1.1250799999999999,1.08654,1.0452400000000004,1.0082000000000002,0.9747600000000004,0.94342,0.90762,0.87488,0.8433800000000001,0.72776,0.7019399999999999,0.68876,0.6838200000000001,0.6630400000000003,0.6623400000000003,0.6533600000000002,0.65034,0.6398199999999999,0.6343200000000001,0.6250800000000001,0.6198800000000001,0.6169000000000002,0.6036000000000001,0.60258,0.58978,0.58298,0.58746,0.5820799999999999,0.5820199999999999,0.5842799999999998,0.5796999999999999,0.5809600000000001,0.5815599999999999,0.5775400000000002,0.57894,0.57552,0.57272,0.57434,0.5767399999999999,0.57456,0.5748000000000001,0.5712200000000002,0.5720200000000001,0.56962,0.57438,0.5710799999999999,0.57152,0.57662,0.5723800000000001,0.56952,0.5722600000000001,0.5727399999999999,0.5738400000000001,0.5672200000000001,0.56916,0.5703,0.57166,0.5720200000000001,0.5659400000000002,0.5717999999999999,0.57326,0.5728800000000001,0.5721800000000001,0.57058,0.5693,0.5671999999999999,0.5763800000000002,0.56866,0.5715399999999999,0.5691800000000001,0.5743000000000001,0.5727199999999999,0.5721200000000001,0.5689000000000002,0.5717199999999999,0.5731,0.5691999999999999,0.57342,0.57058,0.5747400000000001,0.5720200000000001,0.57074,0.5688,0.5716999999999998,0.57548,0.5717000000000001,0.57258,0.5719000000000001,0.5747599999999998,0.5725400000000002,0.5732000000000002,0.5702,0.5661600000000001,0.5723600000000001,0.5722200000000002,0.5700599999999999,0.57652,0.57462,0.5726200000000002,0.5730599999999999,0.5680000000000003,0.5676400000000001,0.5737399999999999,0.5712800000000001,0.57292,0.5710600000000003,0.57002,0.5709000000000001,0.57126,0.57454,0.56784,0.5711200000000001,0.5707599999999999,0.5688799999999997,0.5677,0.57036,0.57492,0.5687000000000001,0.5684,0.5709000000000001,0.57098,0.57088,0.56764,0.57168,0.57102,0.5650399999999999,0.57024,0.57054,0.5762399999999999,0.5742799999999998,0.57548,0.5715599999999998,0.5699000000000001,0.5731399999999998,0.5756400000000002,0.5720600000000001,0.5712799999999999,0.5689399999999999,0.5727,0.56658,0.5679400000000001,0.5745999999999999,0.5725000000000001,0.5731600000000001
4,1.7399000000000007,1.4363400000000002,1.29282,1.2129399999999997,1.1402999999999999,1.0929799999999998,1.0442600000000002,0.9980599999999998,0.9586799999999998,0.92482,0.8890800000000002,0.8553400000000001,0.8262399999999999,0.7949999999999998,0.7686,0.6508400000000002,0.62202,0.6144400000000002,0.6094999999999998,0.5949599999999999,0.59124,0.5822800000000001,0.5748,0.56932,0.5637600000000001,0.5547400000000001,0.55062,0.5479999999999999,0.5411799999999999,0.53254,0.51694,0.5196200000000001,0.5142399999999998,0.5196399999999999,0.5124399999999999,0.51052,0.5150399999999999,0.5149,0.51172,0.51754,0.5134399999999999,0.50934,0.50888,0.5127799999999999,0.5029600000000002,0.5007400000000001,0.50416,0.50364,0.5027799999999999,0.5078199999999999,0.50412,0.5041199999999999,0.5022999999999999,0.50276,0.5052,0.50468,0.5066400000000002,0.5041399999999999,0.50788,0.50528,0.5032800000000001,0.5031599999999999,0.5022600000000002,0.5047,0.50554,0.5042599999999998,0.50456,0.50554,0.5034600000000001,0.50358,0.5052799999999998,0.5074400000000001,0.5044799999999998,0.5067,0.5064799999999999,0.5004599999999999,0.5075,0.5110000000000001,0.5026999999999999,0.50318,0.5031800000000001,0.50034,0.50266,0.507,0.5047599999999999,0.5047200000000001,0.50744,0.50234,0.5046,0.50378,0.5086599999999999,0.5056000000000002,0.5067399999999997,0.5074799999999999,0.5072399999999999,0.50722,0.5109600000000001,0.5069800000000001,0.5097,0.50154,0.509,0.5047200000000001,0.5030800000000001,0.5045799999999999,0.50754,0.50242,0.5084000000000001,0.5006399999999999,0.5039,0.5063400000000001,0.5067200000000001,0.5023400000000001,0.50432,0.5059599999999999,0.5005,0.5053799999999999,0.5087399999999999,0.50392,0.50798,0.5085200000000001,0.50706,0.5052599999999999,0.51086,0.5057,0.5038800000000001,0.5044000000000001,0.5049800000000001,0.5023000000000001,0.50262,0.5065599999999999,0.5025599999999999,0.50336,0.5008,0.50434,0.50508,0.5035399999999999,0.50392,0.5054799999999999,0.5060199999999999,0.5063200000000001,0.5019,0.50562,0.5068,0.49995999999999996,0.50288,0.5087200000000001,0.5067400000000001,0.5005999999999999,0.5056800000000001,0.5009399999999999
6,1.7636399999999997,1.4564399999999995,1.3162400000000003,1.2291800000000002,1.1577199999999996,1.0986000000000002,1.05178,1.0043799999999998,0.9644399999999999,0.92742,0.8904200000000002,0.8484999999999999,0.8244799999999999,0.7941000000000004,0.7617999999999999,0.6437999999999999,0.61944,0.6123799999999999,0.60638,0.5893200000000001,0.58768,0.58086,0.5743,0.5644599999999999,0.56272,0.55534,0.5501999999999999,0.54622,0.53362,0.5334,0.5137600000000001,0.5122800000000001,0.5109799999999999,0.5138199999999999,0.5101600000000002,0.51362,0.5097000000000002,0.5101,0.50558,0.50752,0.51156,0.50664,0.5038400000000001,0.5025,0.51124,0.50054,0.5046,0.4995800000000001,0.50462,0.5021199999999999,0.5046200000000001,0.49877999999999995,0.5047600000000001,0.50298,0.50382,0.50334,0.50294,0.5037,0.5025999999999998,0.50292,0.5073600000000001,0.5003600000000001,0.5044199999999999,0.4999399999999997,0.5014600000000001,0.5012199999999999,0.5058800000000001,0.5043,0.5006399999999998,0.5013000000000001,0.49959999999999993,0.50332,0.501,0.4980800000000001,0.4981799999999999,0.50276,0.499,0.4991600000000001,0.50174,0.5025599999999998,0.50304,0.5061000000000001,0.5014,0.50428,0.49883999999999995,0.50086,0.50124,0.5030599999999998,0.49992000000000014,0.4943199999999999,0.49918,0.50664,0.50112,0.5043000000000001,0.49728000000000017,0.5028999999999999,0.50228,0.5036599999999999,0.49652,0.5024800000000001,0.50128,0.5026399999999999,0.5072800000000001,0.49885999999999986,0.4996199999999999,0.5046,0.5018399999999998,0.49866000000000005,0.5022,0.49978,0.49828000000000006,0.5025799999999999,0.5008199999999999,0.50238,0.5008199999999998,0.5035399999999999,0.5014,0.5024400000000001,0.4981200000000002,0.5022800000000002,0.50452,0.5002,0.50062,0.5013799999999999,0.5056999999999999,0.502,0.49651999999999996,0.50622,0.5041799999999999,0.50184,0.5007800000000001,0.50288,0.49967999999999996,0.5014799999999999,0.50458,0.4966,0.5002000000000001,0.50088,0.50164,0.50688,0.49989999999999996,0.4981399999999999,0.4968399999999999,0.5003200000000001,0.5011000000000001,0.5034000000000001,0.5047399999999999,0.5002399999999999,0.4997599999999999,0.5024000000000002
8,1.7452,1.4309600000000007,1.3041600000000002,1.2192999999999998,1.14958,1.0968999999999998,1.0520799999999997,1.0040200000000001,0.96332,0.9261000000000001,0.8891399999999996,0.8655600000000002,0.8314,0.8080999999999997,0.7761399999999999,0.66484,0.63634,0.6209000000000002,0.6145,0.6068000000000001,0.6030200000000001,0.59508,0.5865400000000001,0.58174,0.5777399999999999,0.56942,0.5665600000000002,0.5621800000000001,0.5526600000000002,0.5429999999999997,0.5358599999999999,0.5324,0.5316,0.5320000000000003,0.52918,0.53098,0.52668,0.5300600000000001,0.5243800000000002,0.5275800000000002,0.5242799999999999,0.5266600000000001,0.5215000000000001,0.5272400000000002,0.5219199999999998,0.51892,0.5200599999999997,0.52244,0.5237000000000002,0.52216,0.52046,0.5211800000000002,0.5192999999999999,0.5174799999999999,0.5202200000000002,0.52374,0.52244,0.5247600000000001,0.5205,0.5189799999999998,0.5216000000000001,0.5188,0.52064,0.5149400000000001,0.51814,0.5172800000000001,0.5206599999999999,0.52082,0.5245000000000001,0.5160399999999999,0.5161199999999999,0.5186200000000001,0.52396,0.51976,0.51958,0.5148199999999998,0.5216799999999998,0.5131999999999999,0.5183399999999999,0.5216000000000001,0.5205399999999999,0.5234999999999999,0.52274,0.5162999999999999,0.51634,0.5195600000000001,0.5188800000000001,0.52362,0.51778,0.51918,0.5196600000000001,0.51974,0.5205599999999999,0.5210199999999999,0.5224,0.5184800000000002,0.5235,0.5182000000000001,0.5206999999999998,0.5180599999999999,0.5178800000000002,0.51936,0.5223,0.5195199999999999,0.5196200000000001,0.5179800000000001,0.5191,0.5208800000000001,0.52398,0.5226800000000001,0.5196799999999999,0.51788,0.52026,0.5244200000000001,0.5193599999999999,0.5231399999999999,0.5193200000000001,0.5194000000000001,0.5182799999999999,0.5196000000000001,0.5163599999999999,0.51946,0.5217999999999998,0.52054,0.51732,0.5174599999999999,0.52084,0.5158999999999999,0.5242600000000001,0.51282,0.5231600000000001,0.5236799999999999,0.5188599999999999,0.52278,0.5188000000000001,0.51978,0.52104,0.5165799999999999,0.52262,0.5197199999999998,0.5216600000000001,0.5159800000000001,0.5226799999999998,0.52032,0.5219599999999999,0.52106,0.5219199999999999,0.51774,0.52364,0.5162200000000001
10,1.7227199999999996,1.4014000000000002,1.2669000000000004,1.17682,1.1157599999999999,1.05776,1.00674,0.9574399999999998,0.9228800000000004,0.8869799999999999,0.85344,0.8245,0.7951399999999996,0.7647800000000002,0.7359199999999998,0.6235599999999999,0.6015,0.5956200000000001,0.5833400000000002,0.5812399999999998,0.5665800000000002,0.56528,0.5572600000000001,0.5487199999999998,0.54294,0.5436000000000002,0.5375600000000001,0.5353600000000001,0.52864,0.5176200000000001,0.5121600000000001,0.5045799999999998,0.5018,0.50562,0.49889999999999995,0.50056,0.49936,0.4995200000000001,0.4970599999999999,0.4968,0.50224,0.49798000000000003,0.49300000000000005,0.49129999999999996,0.49662000000000006,0.49269999999999997,0.49485999999999974,0.49251999999999996,0.49030000000000007,0.49538,0.49176000000000003,0.4917799999999999,0.4956999999999998,0.4885,0.4948,0.49482000000000004,0.4910599999999997,0.49237999999999993,0.4925999999999999,0.49101999999999996,0.49477999999999994,0.49027999999999994,0.49200000000000005,0.4923200000000001,0.4940999999999999,0.48708000000000007,0.49492,0.48761999999999994,0.49178,0.4888,0.49145999999999995,0.4943400000000003,0.49276000000000003,0.49134,0.48638,0.4900799999999999,0.49304000000000003,0.4932400000000002,0.49445999999999996,0.49496000000000007,0.4879999999999999,0.49346,0.48949999999999994,0.4916000000000002,0.4884199999999999,0.49237999999999993,0.4894399999999999,0.48678,0.49374000000000007,0.48954000000000003,0.4899199999999999,0.4911000000000001,0.49039999999999995,0.48744,0.49261999999999984,0.4947599999999999,0.48913999999999996,0.49276,0.4915,0.49398,0.48783999999999994,0.49178000000000005,0.49669999999999986,0.48943999999999993,0.49492,0.48743999999999993,0.4925599999999999,0.49101999999999996,0.4947600000000001,0.49212000000000017,0.49294000000000016,0.49096000000000006,0.48948,0.48847999999999997,0.4870399999999999,0.49034,0.4912599999999999,0.48833999999999994,0.4907999999999998,0.49026000000000003,0.49010000000000015,0.49404,0.4951000000000002,0.4900400000000002,0.4861,0.49163999999999997,0.4904999999999998,0.49231999999999987,0.4908400000000001,0.4922800000000001,0.49437999999999993,0.49072000000000005,0.48917999999999984,0.49302000000000007,0.49192000000000013,0.49672,0.4889599999999998,0.49544000000000016,0.4892400000000001,0.4910999999999999,0.49002,0.4953200000000001,0.48985999999999996,0.4896999999999999,0.4921000000000001,0.49334000000000006,0.48924,0.49156000000000005,0.4944599999999997,0.48985999999999996
12,1.7809799999999996,1.4947,1.3635,1.2803400000000003,1.2117399999999998,1.1630800000000001,1.1097400000000002,1.0650400000000002,1.0282399999999998,0.9922200000000001,0.9544600000000001,0.9208000000000002,0.8859600000000001,0.8595999999999999,0.8309399999999999,0.71518,0.68688,0.66802,0.6615000000000001,0.6526,0.6474400000000002,0.63852,0.6282199999999998,0.6218400000000001,0.61518,0.6055800000000001,0.6072199999999998,0.6014600000000001,0.59634,0.58736,0.5720399999999999,0.57024,0.56568,0.56292,0.5661600000000001,0.5656000000000001,0.5627,0.5615200000000001,0.56418,0.5582799999999999,0.5668199999999999,0.55472,0.5597999999999999,0.559,0.5594999999999999,0.5564999999999998,0.5552999999999998,0.5573600000000001,0.5572200000000003,0.5558,0.5606599999999999,0.5542199999999999,0.5535600000000002,0.5589599999999999,0.5554800000000001,0.55404,0.55274,0.5555,0.5585799999999999,0.5558599999999999,0.5486000000000001,0.5571399999999999,0.5560400000000001,0.5566000000000002,0.5579,0.5541800000000001,0.5561600000000001,0.5566200000000001,0.55964,0.5581,0.54972,0.5584000000000001,0.55564,0.5549400000000001,0.5580000000000002,0.5548799999999999,0.5539400000000001,0.5558200000000001,0.5549000000000001,0.55188,0.55186,0.5549,0.5567199999999999,0.5507599999999999,0.5585400000000001,0.55326,0.55154,0.55486,0.55468,0.5536399999999998,0.5576400000000001,0.5558000000000001,0.5513600000000003,0.5524200000000001,0.55618,0.55868,0.5553000000000001,0.5571000000000003,0.55658,0.55602,0.55622,0.5583399999999998,0.55786,0.5582400000000001,0.5565999999999999,0.55572,0.5540800000000001,0.5557799999999999,0.5573399999999998,0.55302,0.55536,0.5569399999999998,0.55794,0.5552399999999998,0.5546000000000001,0.55796,0.55638,0.5561200000000001,0.5503000000000001,0.5528200000000001,0.5548199999999999,0.5589400000000001,0.5529399999999998,0.5527000000000001,0.5548199999999999,0.5549200000000002,0.5556600000000002,0.5592799999999999,0.5500599999999998,0.5549999999999999,0.55318,0.5568200000000002,0.5531599999999999,0.55426,0.5565199999999999,0.5612799999999999,0.55974,0.5551800000000001,0.5559799999999999,0.55208,0.55646,0.55652,0.5503399999999999,0.55488,0.55292,0.55162,0.55408,0.5518000000000001,0.5567599999999998,0.55084
14,1.8030199999999998,1.5524399999999998,1.4415799999999999,1.3582999999999998,1.2933399999999997,1.24424,1.2003399999999995,1.1529200000000002,1.1179399999999995,1.0900999999999998,1.0526399999999998,1.0266199999999999,0.9918199999999999,0.9617799999999999,0.93494,0.82328,0.7980200000000001,0.78684,0.77644,0.7663400000000001,0.7672599999999997,0.75346,0.7482799999999997,0.7397999999999998,0.7265600000000002,0.7282800000000001,0.7169800000000001,0.7195,0.7066600000000001,0.7010399999999999,0.6922,0.6869200000000001,0.6858799999999998,0.67838,0.68186,0.6786200000000002,0.6773399999999998,0.6845399999999999,0.6806599999999999,0.6835000000000001,0.67908,0.6803800000000002,0.6747600000000001,0.6743399999999999,0.6750800000000001,0.6744000000000001,0.6761199999999999,0.6800200000000001,0.67668,0.6760199999999998,0.6760200000000001,0.6748199999999999,0.6781400000000001,0.6752399999999998,0.6762999999999999,0.6750799999999998,0.67002,0.6667400000000001,0.6752400000000002,0.6714400000000001,0.6735799999999998,0.6753999999999999,0.6753000000000003,0.6735000000000002,0.6700999999999999,0.6755600000000002,0.6712200000000001,0.67664,0.67266,0.675,0.67414,0.6740200000000001,0.6721999999999998,0.6774600000000004,0.6795599999999999,0.6724800000000001,0.6713000000000001,0.67388,0.67426,0.67848,0.6696599999999999,0.6744999999999999,0.6756599999999999,0.6743000000000001,0.67168,0.6748400000000001,0.6716600000000001,0.67538,0.66976,0.67374,0.6734400000000003,0.67438,0.6708599999999998,0.6708599999999998,0.6713,0.6733800000000001,0.6759199999999999,0.66972,0.6746800000000001,0.67298,0.67124,0.6713399999999997,0.6729600000000001,0.67708,0.6717600000000004,0.6757400000000001,0.6703200000000001,0.67196,0.67328,0.6786200000000001,0.67258,0.6702600000000001,0.6731,0.6749400000000001,0.6773000000000002,0.6707000000000001,0.67636,0.6747600000000002,0.67462,0.6781200000000002,0.67122,0.6749799999999999,0.6722199999999999,0.6742400000000002,0.67348,0.6740999999999998,0.67538,0.6702400000000001,0.67534,0.6725999999999999,0.6695000000000002,0.6755600000000002,0.6755600000000002,0.6718200000000002,0.6681,0.6742800000000001,0.6675,0.6728400000000001,0.6741599999999999,0.6739799999999999,0.6702999999999999,0.6707599999999998,0.6718,0.6737799999999998,0.6776200000000001,0.6703199999999999,0.67118,0.66842,0.67592,0.67256
16,1.7836600000000002,1.5126599999999997,1.3891999999999998,1.3100600000000002,1.2486600000000003,1.1950200000000004,1.1420000000000001,1.0987000000000002,1.0604599999999997,1.0295200000000002,0.9922600000000001,0.9631000000000001,0.92616,0.8991199999999998,0.8762600000000001,0.7609999999999999,0.7318200000000001,0.7225400000000003,0.7141399999999999,0.70324,0.6974199999999999,0.6890799999999999,0.68266,0.6768000000000002,0.67014,0.6656600000000001,0.6607399999999999,0.65448,0.6482199999999999,0.64012,0.6261600000000002,0.6237600000000001,0.62018,0.6227200000000002,0.6175000000000002,0.61684,0.6220800000000001,0.6209399999999998,0.6182,0.6120399999999999,0.61556,0.6167599999999998,0.61686,0.6126399999999999,0.6125400000000001,0.6114400000000001,0.61692,0.6142400000000001,0.61436,0.61616,0.61462,0.6087800000000002,0.6149000000000001,0.6105799999999998,0.6127400000000001,0.6088,0.6140400000000001,0.60972,0.6078600000000001,0.6137600000000001,0.6116599999999999,0.6149,0.6088000000000001,0.6102599999999999,0.6121199999999999,0.6083999999999999,0.6097600000000001,0.6137,0.6091400000000001,0.6113,0.6111800000000001,0.6116200000000002,0.6053799999999999,0.61084,0.6137400000000001,0.6072000000000002,0.6145999999999999,0.61122,0.60978,0.6098800000000001,0.60878,0.6109199999999999,0.6126799999999999,0.6109000000000002,0.6114999999999998,0.6104600000000001,0.6116199999999998,0.6096400000000002,0.6114400000000001,0.6062799999999998,0.6112200000000001,0.61382,0.6094999999999999,0.61022,0.60838,0.6110599999999999,0.61194,0.6098199999999998,0.61104,0.61084,0.6137200000000003,0.61102,0.6083599999999999,0.6119399999999999,0.6122599999999998,0.61494,0.60946,0.6091000000000002,0.6100599999999999,0.6061599999999998,0.6113000000000001,0.6073000000000001,0.60842,0.6182599999999999,0.60874,0.60954,0.61056,0.6086,0.6129800000000001,0.6129000000000001,0.6100000000000002,0.61026,0.6103400000000001,0.6143599999999999,0.6124000000000003,0.6107999999999999,0.60866,0.61206,0.6104000000000002,0.6108399999999999,0.6134599999999999,0.61052,0.6144000000000001,0.60886,0.6138599999999999,0.61054,0.61352,0.61244,0.6034200000000001,0.6110399999999999,0.60812,0.6108,0.6090399999999999,0.60952,0.6066199999999999,0.6064399999999999,0.6112000000000001,0.6121,0.6089600000000001,0.6181800000000002
18,1.7657000000000003,1.4701999999999997,1.3416999999999997,1.2603199999999999,1.1919199999999999,1.1368399999999999,1.08404,1.0447399999999998,1.0104999999999997,0.9715000000000003,0.9412600000000003,0.9030000000000001,0.8726,0.84394,0.8220000000000001,0.7037999999999998,0.6867399999999998,0.6788000000000001,0.6637,0.6587999999999998,0.6522600000000002,0.6481600000000002,0.6385,0.6369,0.62948,0.6233000000000002,0.6174599999999999,0.61174,0.6022599999999999,0.6017199999999998,0.58672,0.5830999999999998,0.5828199999999998,0.5878799999999998,0.5807800000000002,0.5837800000000001,0.5785199999999998,0.5782599999999999,0.5827399999999999,0.5807999999999999,0.5750799999999999,0.5812400000000001,0.5819799999999997,0.5751,0.5742,0.57394,0.5732999999999998,0.5756599999999998,0.5726600000000001,0.5722400000000001,0.5724800000000001,0.5723199999999999,0.57382,0.5730399999999998,0.57734,0.5716,0.5755799999999999,0.5716399999999999,0.5720200000000001,0.57274,0.57172,0.5813999999999999,0.5688999999999999,0.57194,0.57092,0.5752400000000001,0.56846,0.5707799999999998,0.57278,0.5695600000000001,0.5738,0.57622,0.5739000000000002,0.5762800000000001,0.5727799999999998,0.5761999999999999,0.5737199999999999,0.5743599999999999,0.5726600000000001,0.5714200000000002,0.5744599999999999,0.5782599999999999,0.57494,0.5733000000000001,0.5776400000000002,0.5708400000000001,0.5662799999999999,0.57328,0.5757000000000001,0.5694799999999998,0.5708800000000002,0.5699000000000002,0.5683,0.57442,0.57422,0.5700600000000001,0.57104,0.57714,0.5710800000000001,0.57274,0.5767999999999998,0.57436,0.57496,0.5716800000000002,0.569,0.5730200000000001,0.5730599999999999,0.5728199999999999,0.57228,0.5722200000000001,0.57174,0.5726399999999999,0.5755,0.56768,0.5756800000000001,0.5693,0.5743199999999998,0.57328,0.57662,0.5722600000000001,0.5752599999999999,0.5723600000000001,0.5736399999999998,0.5718399999999998,0.5748999999999999,0.5713799999999999,0.5775399999999999,0.57392,0.5714399999999998,0.5726399999999999,0.5705399999999999,0.57164,0.57544,0.5767199999999999,0.57178,0.5770200000000001,0.5724400000000001,0.57042,0.5749000000000003,0.5737199999999999,0.57126,0.5759399999999999,0.57018,0.5747399999999998,0.5750000000000001,0.57436,0.5760199999999999,0.5764999999999998,0.5720400000000001,0.57528
